Row,Parent Feature Summary,Original Work Alignment,Original Work Category,Story Summary,Original Classification,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence,Classification Rationale
137,SRE Delivery: Chaos Engineering,Black,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
138,SRE Delivery: Chaos Engineering,Red,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
139,Migrated Delivery,Red,Continuous Improvement,Resolve post-migration defects impacting service delivery to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red → KTLO
140,Acquisitions ART Production Support,Orange,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
141,Migrated Delivery,Green,Continuous Improvement,Resolve post-migration defects impacting service delivery to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM,Migrated + Green + CI → Other Blocked Priority
142,Continuous Improvement Feature,Red,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
143,Security & Vulnerability Management,Green,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
144,Acquisitions ART Production Support,Orange,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
145,Security & Vulnerability Management,Green,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
146,SRE Delivery: Chaos Engineering,Yellow,Production Support,Improve resilience testing coverage for critical workloads to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH,Production Support work category → KTLO
147,Security & Vulnerability Management,Orange,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
148,Migrated Delivery,Orange,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
149,Acquisitions ART Production Support,Orange,Production Support,Address production support gaps impacting acquisition flows to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
150,Continuous Improvement Feature,Black,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,CI Feature + Black → Technical Maintenance
151,Migrated Delivery,Green,Maintenance,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
152,Security & Vulnerability Management,Green,Business Functionality,Harden service configurations based on security findings to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
153,Acquisitions ART Production Support,Yellow,Continuous Improvement,Stabilize acquisition-related batch processing to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
154,Continuous Improvement Feature,Yellow,Continuous Improvement,Optimize deployment workflows for improved reliability to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
155,Migrated Delivery,Red,Maintenance,Stabilize workloads following platform migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
156,Security & Vulnerability Management,Black,Enablers,Remediate identified vulnerabilities in shared services to unblock dependent teams,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
157,SRE Delivery: Chaos Engineering,Black,Production Support,Improve resilience testing coverage for critical workloads to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH,Production Support work category → KTLO
158,SRE Delivery: Chaos Engineering,Black,Production Support,Improve resilience testing coverage for critical workloads to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH,Production Support work category → KTLO
159,Continuous Improvement Feature,Red,Production Support,Refactor pipeline components to reduce operational overhead to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
160,Security & Vulnerability Management,Black,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
161,Security & Vulnerability Management,Red,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
162,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
163,Security & Vulnerability Management,Black,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
164,Migrated Delivery,Black,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
165,SRE Delivery: Chaos Engineering,Green,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
166,Continuous Improvement Feature,Orange,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
167,SRE Delivery: Chaos Engineering,Orange,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
168,Continuous Improvement Feature,Black,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
169,Security & Vulnerability Management,Black,Business Functionality,Remediate identified vulnerabilities in shared services to enable required business functionality,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
170,SRE Delivery: Chaos Engineering,Orange,Business Functionality,Improve resilience testing coverage for critical workloads to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
171,SRE Delivery: Chaos Engineering,Orange,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
172,Migrated Delivery,Orange,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
173,Migrated Delivery,Orange,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
174,SRE Delivery: Chaos Engineering,Green,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
