Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
192,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
193,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
194,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
195,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
196,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
197,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
198,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
199,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
200,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
201,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
202,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
203,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
204,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
205,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
206,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
207,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
208,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
209,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
210,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
211,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
212,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
213,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
214,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
215,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
216,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
217,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
218,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
219,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
220,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
221,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
222,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
223,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
224,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
225,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
226,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
227,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
228,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
229,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
230,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
231,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
232,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
233,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
234,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
235,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
236,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
237,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
238,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
239,Continuous Improvement Feature,Improve observability and logging standards to drive continuous improvement,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
